UniqueID,countyFIPS,CountyName,Month_Year,Cases,Month_c,Month,Year,County_FIPS,LaborForce,Employed,Unemployed,UnemploymentRate
Atlantic County_Feb,34001,Atlantic County,20-Feb,0,Feb,2,20,1,121288,113570,7718,6.4
Atlantic County_Mar,34001,Atlantic County,20-Mar,164,Mar,3,20,1,120344,113532,6812,5.7
Atlantic County_Apr,34001,Atlantic County,20-Apr,11294,Apr,4,20,1,122476,81068,41408,33.8
Atlantic County_May,34001,Atlantic County,20-May,51979,May,5,20,1,123110,83049,40061,32.5
Atlantic County_Jun,34001,Atlantic County,20-Jun,76442,Jun,6,20,1,130190,85419,44771,34.4
Atlantic County_Jul,34001,Atlantic County,20-Jul,95780,Jul,7,20,1,128751,97204,31547,24.5
Atlantic County_Aug,34001,Atlantic County,20-Aug,110715,Aug,8,20,1,123426,101307,22119,17.9
Bergen County_Feb,34003,Bergen County,20-Feb,0,Feb,2,20,3,493995,477262,16733,3.4
Bergen County_Mar,34003,Bergen County,20-Mar,15881,Mar,3,20,3,494799,480046,14753,3
Bergen County_Apr,34003,Bergen County,20-Apr,322111,Apr,4,20,3,477518,403413,74105,15.5
Bergen County_May,34003,Bergen County,20-May,534325,May,5,20,3,485218,412954,72264,14.9
Bergen County_Jun,34003,Bergen County,20-Jun,565409,Jun,6,20,3,493158,411987,81171,16.5
Bergen County_Jul,34003,Bergen County,20-Jul,618411,Jul,7,20,3,497668,425789,71879,14.4
Bergen County_Aug,34003,Bergen County,20-Aug,653323,Aug,8,20,3,492806,437684,55122,11.2
Burlington County_Feb,34005,Burlington County,20-Feb,0,Feb,2,20,5,235262,226480,8782,3.7
Burlington County_Mar,34005,Burlington County,20-Mar,1035,Mar,3,20,5,236872,229286,7586,3.2
Burlington County_Apr,34005,Burlington County,20-Apr,41494,Apr,4,20,5,230986,200040,30946,13.4
Burlington County_May,34005,Burlington County,20-May,118942,May,5,20,5,233012,203531,29481,12.7
Burlington County_Jun,34005,Burlington County,20-Jun,147543,Jun,6,20,5,234617,201838,32779,14
Burlington County_Jul,34005,Burlington County,20-Jul,168521,Jul,7,20,5,236554,207565,28989,12.3
Burlington County_Aug,34005,Burlington County,20-Aug,189993,Aug,8,20,5,235923,214027,21896,9.3
Camden County_Feb,34007,Camden County,20-Feb,0,Feb,2,20,7,258589,246814,11775,4.6
Camden County_Mar,34007,Camden County,20-Mar,1111,Mar,3,20,7,260261,249933,10328,4
Camden County_Apr,34007,Camden County,20-Apr,52623,Apr,4,20,7,259701,217661,42040,16.2
Camden County_May,34007,Camden County,20-May,163864,May,5,20,7,260938,221249,39689,15.2
Camden County_Jun,34007,Camden County,20-Jun,209890,Jun,6,20,7,263563,219741,43822,16.6
Camden County_Jul,34007,Camden County,20-Jul,241403,Jul,7,20,7,264660,226188,38472,14.5
Camden County_Aug,34007,Camden County,20-Aug,271588,Aug,8,20,7,262315,232788,29527,11.3
Cape May County_Feb,34009,Cape May County,20-Feb,0,Feb,2,20,9,41867,36790,5077,12.1
Cape May County_Mar,34009,Cape May County,20-Mar,65,Mar,3,20,9,41426,36903,4523,10.9
Cape May County_Apr,34009,Cape May County,20-Apr,5185,Apr,4,20,9,42045,30715,11330,26.9
Cape May County_May,34009,Cape May County,20-May,15158,May,5,20,9,43185,33438,9747,22.6
Cape May County_Jun,34009,Cape May County,20-Jun,20168,Jun,6,20,9,46891,37438,9453,20.2
Cape May County_Jul,34009,Cape May County,20-Jul,23257,Jul,7,20,9,47744,40454,7290,15.3
Cape May County_Aug,34009,Cape May County,20-Aug,26431,Aug,8,20,9,47778,42404,5374,11.2
Cumberland County_Feb,34011,Cumberland County,20-Feb,0,Feb,2,20,11,66290,61756,4534,6.8
Cumberland County_Mar,34011,Cumberland County,20-Mar,74,Mar,3,20,11,66372,62405,3967,6
Cumberland County_Apr,34011,Cumberland County,20-Apr,8293,Apr,4,20,11,67714,56567,11147,16.5
Cumberland County_May,34011,Cumberland County,20-May,48516,May,5,20,11,67865,57612,10253,15.1
Cumberland County_Jun,34011,Cumberland County,20-Jun,81206,Jun,6,20,11,67884,56555,11329,16.7
Cumberland County_Jul,34011,Cumberland County,20-Jul,95329,Jul,7,20,11,67136,57031,10105,15.1
Cumberland County_Aug,34011,Cumberland County,20-Aug,105845,Aug,8,20,11,67481,59691,7790,11.5
Essex County_Feb,34013,Essex County,20-Feb,0,Feb,2,20,13,375825,357005,18820,5
Essex County_Mar,34013,Essex County,20-Mar,8744,Mar,3,20,13,373831,356621,17210,4.6
Essex County_Apr,34013,Essex County,20-Apr,257145,Apr,4,20,13,366044,304445,61599,16.8
Essex County_May,34013,Essex County,20-May,499652,May,5,20,13,373779,311862,61917,16.6
Essex County_Jun,34013,Essex County,20-Jun,550290,Jun,6,20,13,383713,311326,72387,18.9
Essex County_Jul,34013,Essex County,20-Jul,591911,Jul,7,20,13,391806,324539,67267,17.2
Essex County_Aug,34013,Essex County,20-Aug,617525,Aug,8,20,13,383542,330451,53091,13.8
Gloucester County_Feb,34015,Gloucester County,20-Feb,0,Feb,2,20,15,153172,146539,6633,4.3
Gloucester County_Mar,34015,Gloucester County,20-Mar,478,Mar,3,20,15,154124,148401,5723,3.7
Gloucester County_Apr,34015,Gloucester County,20-Apr,19166,Apr,4,20,15,153658,129341,24317,15.8
Gloucester County_May,34015,Gloucester County,20-May,56227,May,5,20,15,153752,131509,22243,14.5
Gloucester County_Jun,34015,Gloucester County,20-Jun,72454,Jun,6,20,15,154839,130520,24319,15.7
Gloucester County_Jul,34015,Gloucester County,20-Jul,87007,Jul,7,20,15,155087,134286,20801,13.4
Gloucester County_Aug,34015,Gloucester County,20-Aug,105308,Aug,8,20,15,154008,138295,15713,10.2
Hudson County_Feb,34017,Hudson County,20-Feb,0,Feb,2,20,17,369783,356337,13446,3.6
Hudson County_Mar,34017,Hudson County,20-Mar,6829,Mar,3,20,17,370880,358576,12304,3.3
Hudson County_Apr,34017,Hudson County,20-Apr,264998,Apr,4,20,17,358627,301197,57430,16
Hudson County_May,34017,Hudson County,20-May,533051,May,5,20,17,366145,308162,57983,15.8
Hudson County_Jun,34017,Hudson County,20-Jun,560501,Jun,6,20,17,374136,307463,66673,17.8
Hudson County_Jul,34017,Hudson County,20-Jul,594658,Jul,7,20,17,378403,317760,60643,16
Hudson County_Aug,34017,Hudson County,20-Aug,615234,Aug,8,20,17,373585,326406,47179,12.6
Hunterdon County_Feb,34019,Hunterdon County,20-Feb,0,Feb,2,20,19,65595,63361,2234,3.4
Hunterdon County_Mar,34019,Hunterdon County,20-Mar,525,Mar,3,20,19,65151,63250,1901,2.9
Hunterdon County_Apr,34019,Hunterdon County,20-Apr,10828,Apr,4,20,19,61918,54326,7592,12.3
Hunterdon County_May,34019,Hunterdon County,20-May,25302,May,5,20,19,62914,55820,7094,11.3
Hunterdon County_Jun,34019,Hunterdon County,20-Jun,31242,Jun,6,20,19,63318,55447,7871,12.4
Hunterdon County_Jul,34019,Hunterdon County,20-Jul,34134,Jul,7,20,19,64534,57618,6916,10.7
Hunterdon County_Aug,34019,Hunterdon County,20-Aug,36241,Aug,8,20,19,64209,59039,5170,8.1
Mercer County_Feb,34021,Mercer County,20-Feb,0,Feb,2,20,21,207301,199797,7504,3.6
Mercer County_Mar,34021,Mercer County,20-Mar,1463,Mar,3,20,21,208308,201768,6540,3.1
Mercer County_Apr,34021,Mercer County,20-Apr,60025,Apr,4,20,21,202050,180059,21991,10.9
Mercer County_May,34021,Mercer County,20-May,177092,May,5,20,21,203684,182163,21521,10.6
Mercer County_Jun,34021,Mercer County,20-Jun,220861,Jun,6,20,21,202832,177710,25122,12.4
Mercer County_Jul,34021,Mercer County,20-Jul,242633,Jul,7,20,21,208761,185029,23732,11.4
Mercer County_Aug,34021,Mercer County,20-Aug,253844,Aug,8,20,21,207745,189698,18047,8.7
Middlesex County_Feb,34023,Middlesex County,20-Feb,0,Feb,2,20,23,447281,431391,15890,3.6
Middlesex County_Mar,34023,Middlesex County,20-Mar,6603,Mar,3,20,23,441081,427153,13928,3.2
Middlesex County_Apr,34023,Middlesex County,20-Apr,202870,Apr,4,20,23,423155,363053,60102,14.2
Middlesex County_May,34023,Middlesex County,20-May,445909,May,5,20,23,431564,373444,58120,13.5
Middlesex County_Jun,34023,Middlesex County,20-Jun,493000,Jun,6,20,23,438149,372705,65444,14.9
Middlesex County_Jul,34023,Middlesex County,20-Jul,532878,Jul,7,20,23,450234,391004,59230,13.2
Middlesex County_Aug,34023,Middlesex County,20-Aug,560618,Aug,8,20,23,445786,400485,45301,10.2
Monmouth County_Feb,34025,Monmouth County,20-Feb,0,Feb,2,20,25,335263,322679,12584,3.8
Monmouth County_Mar,34025,Monmouth County,20-Mar,6247,Mar,3,20,25,330098,319208,10890,3.3
Monmouth County_Apr,34025,Monmouth County,20-Apr,121507,Apr,4,20,25,321846,271602,50244,15.6
Monmouth County_May,34025,Monmouth County,20-May,224791,May,5,20,25,326077,279749,46328,14.2
Monmouth County_Jun,34025,Monmouth County,20-Jun,262351,Jun,6,20,25,330084,279131,50953,15.4
Monmouth County_Jul,34025,Monmouth County,20-Jul,297350,Jul,7,20,25,336278,292742,43536,12.9
Monmouth County_Aug,34025,Monmouth County,20-Aug,323630,Aug,8,20,25,333523,300466,33057,9.9
Morris County_Feb,34027,Morris County,20-Feb,0,Feb,2,20,27,261338,252699,8639,3.3
Morris County_Mar,34027,Morris County,20-Mar,4166,Mar,3,20,27,259899,252406,7493,2.9
Morris County_Apr,34027,Morris County,20-Apr,103738,Apr,4,20,27,247877,215594,32283,13
Morris County_May,34027,Morris County,20-May,185414,May,5,20,27,251580,220910,30670,12.2
Morris County_Jun,34027,Morris County,20-Jun,198574,Jun,6,20,27,254772,220436,34336,13.5
Morris County_Jul,34027,Morris County,20-Jul,215149,Jul,7,20,27,259714,229729,29985,11.5
Morris County_Aug,34027,Morris County,20-Aug,227155,Aug,8,20,27,256962,234050,22912,8.9
Ocean County_Feb,34029,Ocean County,20-Feb,0,Feb,2,20,29,281663,268725,12938,4.6
Ocean County_Mar,34029,Ocean County,20-Mar,4963,Mar,3,20,29,276776,265826,10950,4
Ocean County_Apr,34029,Ocean County,20-Apr,121739,Apr,4,20,29,273188,225983,47205,17.3
Ocean County_May,34029,Ocean County,20-May,242264,May,5,20,29,275790,232692,43098,15.6
Ocean County_Jun,34029,Ocean County,20-Jun,277480,Jun,6,20,29,278682,232361,46321,16.6
Ocean County_Jul,34029,Ocean County,20-Jul,308184,Jul,7,20,29,281878,243810,38068,13.5
Ocean County_Aug,34029,Ocean County,20-Aug,333934,Aug,8,20,29,278844,250059,28785,10.3
Passaic County_Feb,34031,Passaic County,20-Feb,0,Feb,2,20,31,248840,236273,12567,5.1
Passaic County_Mar,34031,Passaic County,20-Mar,5617,Mar,3,20,31,249188,237780,11408,4.6
Passaic County_Apr,34031,Passaic County,20-Apr,211237,Apr,4,20,31,249112,199887,49225,19.8
Passaic County_May,34031,Passaic County,20-May,462297,May,5,20,31,251967,204562,47405,18.8
Passaic County_Jun,34031,Passaic County,20-Jun,498576,Jun,6,20,31,256795,203941,52854,20.6
Passaic County_Jul,34031,Passaic County,20-Jul,531084,Jul,7,20,31,257660,210665,46995,18.2
Passaic County_Aug,34031,Passaic County,20-Aug,555201,Aug,8,20,31,253055,216539,36516,14.4
Salem County_Feb,34033,Salem County,20-Feb,0,Feb,2,20,33,29831,28107,1724,5.8
Salem County_Mar,34033,Salem County,20-Mar,30,Mar,3,20,33,29909,28389,1520,5.1
Salem County_Apr,34033,Salem County,20-Apr,3019,Apr,4,20,33,29409,25170,4239,14.4
Salem County_May,34033,Salem County,20-May,14046,May,5,20,33,29772,25811,3961,13.3
Salem County_Jun,34033,Salem County,20-Jun,21377,Jun,6,20,33,29649,25229,4420,14.9
Salem County_Jul,34033,Salem County,20-Jul,25613,Jul,7,20,33,30020,25910,4110,13.7
Salem County_Aug,34033,Salem County,20-Aug,28710,Aug,8,20,33,29866,26682,3184,10.7
Somerset County_Feb,34035,Somerset County,20-Feb,0,Feb,2,20,35,174401,168315,6086,3.5
Somerset County_Mar,34035,Somerset County,20-Mar,2132,Mar,3,20,35,173473,168167,5306,3.1
Somerset County_Apr,34035,Somerset County,20-Apr,60288,Apr,4,20,35,164019,143699,20320,12.4
Somerset County_May,34035,Somerset County,20-May,129670,May,5,20,35,166895,147232,19663,11.8
Somerset County_Jun,34035,Somerset County,20-Jun,142490,Jun,6,20,35,169215,146841,22374,13.2
Somerset County_Jul,34035,Somerset County,20-Jul,156196,Jul,7,20,35,173137,152982,20155,11.6
Somerset County_Aug,34035,Somerset County,20-Aug,164212,Aug,8,20,35,171123,155869,15254,8.9
Sussex County_Feb,34037,Sussex County,20-Feb,0,Feb,2,20,37,75572,72232,3340,4.4
Sussex County_Mar,34037,Sussex County,20-Mar,600,Mar,3,20,37,75027,72114,2913,3.9
Sussex County_Apr,34037,Sussex County,20-Apr,16770,Apr,4,20,37,74516,61790,12726,17.1
Sussex County_May,34037,Sussex County,20-May,32396,May,5,20,37,74645,63421,11224,15
Sussex County_Jun,34037,Sussex County,20-Jun,34770,Jun,6,20,37,74999,63129,11870,15.8
Sussex County_Jul,34037,Sussex County,20-Jul,38498,Jul,7,20,37,75855,65687,10168,13.4
Sussex County_Aug,34037,Sussex County,20-Aug,41818,Aug,8,20,37,74848,67150,7698,10.3
Union County_Feb,34039,Union County,20-Feb,0,Feb,2,20,39,281827,269659,12168,4.3
Union County_Mar,34039,Union County,20-Mar,6030,Mar,3,20,39,280328,269468,10860,3.9
Union County_Apr,34039,Union County,20-Apr,229648,Apr,4,20,39,271937,230044,41893,15.4
Union County_May,34039,Union County,20-May,450261,May,5,20,39,276606,235570,41036,14.8
Union County_Jun,34039,Union County,20-Jun,486629,Jun,6,20,39,281299,235116,46183,16.4
Union County_Jul,34039,Union County,20-Jul,506050,Jul,7,20,39,286811,245064,41747,14.6
Union County_Aug,34039,Union County,20-Aug,522010,Aug,8,20,39,281642,249419,32223,11.4
Warren County_Feb,34041,Warren County,20-Feb,0,Feb,2,20,41,57182,54793,2389,4.2
Warren County_Mar,34041,Warren County,20-Mar,372,Mar,3,20,41,57388,55337,2051,3.6
Warren County_Apr,34041,Warren County,20-Apr,14754,Apr,4,20,41,56731,48557,8174,14.4
Warren County_May,34041,Warren County,20-May,33143,May,5,20,41,57348,50091,7257,12.7
Warren County_Jun,34041,Warren County,20-Jun,36138,Jun,6,20,41,57987,49969,8018,13.8
Warren County_Jul,34041,Warren County,20-Jul,39642,Jul,7,20,41,58038,51043,6995,12.1
Warren County_Aug,34041,Warren County,20-Aug,42224,Aug,8,20,41,57772,52457,5315,9.2
