id,County_Month,Month_Year_x,Covid_Cases,year,month,Month_c,Year,County_FIPS,State FIPS Code,County FIPS Code,County Name,State Abbreviation,Month_Year_y,Labor Force,Employed,Unemployed,Unemployment Rate (%)
101,Atlantic County_Feb,2/29/2020,0,2020,2,Feb,20,1,34,1,Atlantic County, NJ,Feb,121288,113570,7718,6.4
102,Atlantic County_Mar,3/31/2020,31,2020,3,Mar,20,1,34,1,Atlantic County, NJ,Mar,120344,113532,6812,5.7
103,Atlantic County_Apr,4/30/2020,964,2020,4,Apr,20,1,34,1,Atlantic County, NJ,Apr,122476,81068,41408,33.8
104,Atlantic County_May,5/31/2020,2214,2020,5,May,20,1,34,1,Atlantic County, NJ,May,123110,83049,40061,32.5
105,Atlantic County_Jun,6/30/2020,2863,2020,6,Jun,20,1,34,1,Atlantic County, NJ,Jun,130190,85419,44771,34.4
106,Atlantic County_Jul,7/31/2020,3364,2020,7,Jul,20,1,34,1,Atlantic County, NJ,Jul,128751,97204,31547,24.5
107,Atlantic County_Aug,8/31/2020,3752,2020,8,Aug,20,1,34,1,Atlantic County, NJ,Aug,123426,101307,22119,17.9
108,Bergen County_Feb,2/29/2020,0,2020,2,Feb,20,3,34,3,Bergen County, NJ,Feb,493995,477262,16733,3.4
109,Bergen County_Mar,3/31/2020,2909,2020,3,Mar,20,3,34,3,Bergen County, NJ,Mar,494799,480046,14753,3
110,Bergen County_Apr,4/30/2020,15610,2020,4,Apr,20,3,34,3,Bergen County, NJ,Apr,477518,403413,74105,15.5
111,Bergen County_May,5/31/2020,18272,2020,5,May,20,3,34,3,Bergen County, NJ,May,485218,412954,72264,14.9
112,Bergen County_Jun,6/30/2020,19423,2020,6,Jun,20,3,34,3,Bergen County, NJ,Jun,493158,411987,81171,16.5
113,Bergen County_Jul,7/31/2020,20472,2020,7,Jul,20,3,34,3,Bergen County, NJ,Jul,497668,425789,71879,14.4
114,Bergen County_Aug,8/31/2020,21600,2020,8,Aug,20,3,34,3,Bergen County, NJ,Aug,492806,437684,55122,11.2
115,Burlington County_Feb,2/29/2020,0,2020,2,Feb,20,5,34,5,Burlington County, NJ,Feb,235262,226480,8782,3.7
116,Burlington County_Mar,3/31/2020,202,2020,3,Mar,20,5,34,5,Burlington County, NJ,Mar,236872,229286,7586,3.2
117,Burlington County_Apr,4/30/2020,2690,2020,4,Apr,20,5,34,5,Burlington County, NJ,Apr,230986,200040,30946,13.4
118,Burlington County_May,5/31/2020,4627,2020,5,May,20,5,34,5,Burlington County, NJ,May,233012,203531,29481,12.7
119,Burlington County_Jun,6/30/2020,5168,2020,6,Jun,20,5,34,5,Burlington County, NJ,Jun,234617,201838,32779,14
120,Burlington County_Jul,7/31/2020,5781,2020,7,Jul,20,5,34,5,Burlington County, NJ,Jul,236554,207565,28989,12.3
121,Burlington County_Aug,8/31/2020,6395,2020,8,Aug,20,5,34,5,Burlington County, NJ,Aug,235923,214027,21896,9.3
122,Camden County_Feb,2/29/2020,0,2020,2,Feb,20,7,34,7,Camden County, NJ,Feb,258589,246814,11775,4.6
123,Camden County_Mar,3/31/2020,228,2020,3,Mar,20,7,34,7,Camden County, NJ,Mar,260261,249933,10328,4
124,Camden County_Apr,4/30/2020,3519,2020,4,Apr,20,7,34,7,Camden County, NJ,Apr,259701,217661,42040,16.2
125,Camden County_May,5/31/2020,6510,2020,5,May,20,7,34,7,Camden County, NJ,May,260938,221249,39689,15.2
126,Camden County_Jun,6/30/2020,7317,2020,6,Jun,20,7,34,7,Camden County, NJ,Jun,263563,219741,43822,16.6
127,Camden County_Jul,7/31/2020,8301,2020,7,Jul,20,7,34,7,Camden County, NJ,Jul,264660,226188,38472,14.5
128,Camden County_Aug,8/31/2020,9157,2020,8,Aug,20,7,34,7,Camden County, NJ,Aug,262315,232788,29527,11.3
129,Cape May County_Feb,2/29/2020,0,2020,2,Feb,20,9,34,9,Cape May County, NJ,Feb,41867,36790,5077,12.1
130,Cape May County_Mar,3/31/2020,12,2020,3,Mar,20,9,34,9,Cape May County, NJ,Mar,41426,36903,4523,10.9
131,Cape May County_Apr,4/30/2020,323,2020,4,Apr,20,9,34,9,Cape May County, NJ,Apr,42045,30715,11330,26.9
132,Cape May County_May,5/31/2020,617,2020,5,May,20,9,34,9,Cape May County, NJ,May,43185,33438,9747,22.6
133,Cape May County_Jun,6/30/2020,712,2020,6,Jun,20,9,34,9,Cape May County, NJ,Jun,46891,37438,9453,20.2
134,Cape May County_Jul,7/31/2020,806,2020,7,Jul,20,9,34,9,Cape May County, NJ,Jul,47744,40454,7290,15.3
135,Cape May County_Aug,8/31/2020,905,2020,8,Aug,20,9,34,9,Cape May County, NJ,Aug,47778,42404,5374,11.2
136,Cumberland County_Feb,2/29/2020,0,2020,2,Feb,20,11,34,11,Cumberland County, NJ,Feb,66290,61756,4534,6.8
137,Cumberland County_Mar,3/31/2020,18,2020,3,Mar,20,11,34,11,Cumberland County, NJ,Mar,66372,62405,3967,6
138,Cumberland County_Apr,4/30/2020,723,2020,4,Apr,20,11,34,11,Cumberland County, NJ,Apr,67714,56567,11147,16.5
139,Cumberland County_May,5/31/2020,2298,2020,5,May,20,11,34,11,Cumberland County, NJ,May,67865,57612,10253,15.1
140,Cumberland County_Jun,6/30/2020,2963,2020,6,Jun,20,11,34,11,Cumberland County, NJ,Jun,67884,56555,11329,16.7
141,Cumberland County_Jul,7/31/2020,3215,2020,7,Jul,20,11,34,11,Cumberland County, NJ,Jul,67136,57031,10105,15.1
142,Cumberland County_Aug,8/31/2020,3573,2020,8,Aug,20,11,34,11,Cumberland County, NJ,Aug,67481,59691,7790,11.5
143,Essex County_Feb,2/29/2020,0,2020,2,Feb,20,13,34,13,Essex County, NJ,Feb,375825,357005,18820,5
144,Essex County_Mar,3/31/2020,1900,2020,3,Mar,20,13,34,13,Essex County, NJ,Mar,373831,356621,17210,4.6
145,Essex County_Apr,4/30/2020,13682,2020,4,Apr,20,13,34,13,Essex County, NJ,Apr,366044,304445,61599,16.8
146,Essex County_May,5/31/2020,17629,2020,5,May,20,13,34,13,Essex County, NJ,May,373779,311862,61917,16.6
147,Essex County_Jun,6/30/2020,18758,2020,6,Jun,20,13,34,13,Essex County, NJ,Jun,383713,311326,72387,18.9
148,Essex County_Jul,7/31/2020,19488,2020,7,Jul,20,13,34,13,Essex County, NJ,Jul,391806,324539,67267,17.2
149,Essex County_Aug,8/31/2020,20324,2020,8,Aug,20,13,34,13,Essex County, NJ,Aug,383542,330451,53091,13.8
150,Gloucester County_Feb,2/29/2020,0,2020,2,Feb,20,15,34,15,Gloucester County, NJ,Feb,153172,146539,6633,4.3
151,Gloucester County_Mar,3/31/2020,114,2020,3,Mar,20,15,34,15,Gloucester County, NJ,Mar,154124,148401,5723,3.7
152,Gloucester County_Apr,4/30/2020,1251,2020,4,Apr,20,15,34,15,Gloucester County, NJ,Apr,153658,129341,24317,15.8
153,Gloucester County_May,5/31/2020,2234,2020,5,May,20,15,34,15,Gloucester County, NJ,May,153752,131509,22243,14.5
154,Gloucester County_Jun,6/30/2020,2578,2020,6,Jun,20,15,34,15,Gloucester County, NJ,Jun,154839,130520,24319,15.7
155,Gloucester County_Jul,7/31/2020,3059,2020,7,Jul,20,15,34,15,Gloucester County, NJ,Jul,155087,134286,20801,13.4
156,Gloucester County_Aug,8/31/2020,3685,2020,8,Aug,20,15,34,15,Gloucester County, NJ,Aug,154008,138295,15713,10.2
157,Hudson County_Feb,2/29/2020,0,2020,2,Feb,20,17,34,17,Hudson County, NJ,Feb,369783,356337,13446,3.6
158,Hudson County_Mar,3/31/2020,1606,2020,3,Mar,20,17,34,17,Hudson County, NJ,Mar,370880,358576,12304,3.3
159,Hudson County_Apr,4/30/2020,14916,2020,4,Apr,20,17,34,17,Hudson County, NJ,Apr,358627,301197,57430,16
160,Hudson County_May,5/31/2020,18419,2020,5,May,20,17,34,17,Hudson County, NJ,May,366145,308162,57983,15.8
161,Hudson County_Jun,6/30/2020,18841,2020,6,Jun,20,17,34,17,Hudson County, NJ,Jun,374136,307463,66673,17.8
162,Hudson County_Jul,7/31/2020,19478,2020,7,Jul,20,17,34,17,Hudson County, NJ,Jul,378403,317760,60643,16
163,Hudson County_Aug,8/31/2020,20144,2020,8,Aug,20,17,34,17,Hudson County, NJ,Aug,373585,326406,47179,12.6
164,Hunterdon County_Feb,2/29/2020,0,2020,2,Feb,20,19,34,19,Hunterdon County, NJ,Feb,65595,63361,2234,3.4
165,Hunterdon County_Mar,3/31/2020,97,2020,3,Mar,20,19,34,19,Hunterdon County, NJ,Mar,65151,63250,1901,2.9
166,Hunterdon County_Apr,4/30/2020,603,2020,4,Apr,20,19,34,19,Hunterdon County, NJ,Apr,61918,54326,7592,12.3
167,Hunterdon County_May,5/31/2020,993,2020,5,May,20,19,34,19,Hunterdon County, NJ,May,62914,55820,7094,11.3
168,Hunterdon County_Jun,6/30/2020,1080,2020,6,Jun,20,19,34,19,Hunterdon County, NJ,Jun,63318,55447,7871,12.4
169,Hunterdon County_Jul,7/31/2020,1130,2020,7,Jul,20,19,34,19,Hunterdon County, NJ,Jul,64534,57618,6916,10.7
170,Hunterdon County_Aug,8/31/2020,1212,2020,8,Aug,20,19,34,19,Hunterdon County, NJ,Aug,64209,59039,5170,8.1
171,Mercer County_Feb,2/29/2020,0,2020,2,Feb,20,21,34,21,Mercer County, NJ,Feb,207301,199797,7504,3.6
172,Mercer County_Mar,3/31/2020,268,2020,3,Mar,20,21,34,21,Mercer County, NJ,Mar,208308,201768,6540,3.1
173,Mercer County_Apr,4/30/2020,3937,2020,4,Apr,20,21,34,21,Mercer County, NJ,Apr,202050,180059,21991,10.9
174,Mercer County_May,5/31/2020,6933,2020,5,May,20,21,34,21,Mercer County, NJ,May,203684,182163,21521,10.6
175,Mercer County_Jun,6/30/2020,7659,2020,6,Jun,20,21,34,21,Mercer County, NJ,Jun,202832,177710,25122,12.4
176,Mercer County_Jul,7/31/2020,8020,2020,7,Jul,20,21,34,21,Mercer County, NJ,Jul,208761,185029,23732,11.4
177,Mercer County_Aug,8/31/2020,8333,2020,8,Aug,20,21,34,21,Mercer County, NJ,Aug,207745,189698,18047,8.7
178,Middlesex County_Feb,2/29/2020,0,2020,2,Feb,20,23,34,23,Middlesex County, NJ,Feb,447281,431391,15890,3.6
179,Middlesex County_Mar,3/31/2020,1277,2020,3,Mar,20,23,34,23,Middlesex County, NJ,Mar,441081,427153,13928,3.2
180,Middlesex County_Apr,4/30/2020,11715,2020,4,Apr,20,23,34,23,Middlesex County, NJ,Apr,423155,363053,60102,14.2
181,Middlesex County_May,5/31/2020,15921,2020,5,May,20,23,34,23,Middlesex County, NJ,May,431564,373444,58120,13.5
182,Middlesex County_Jun,6/30/2020,16816,2020,6,Jun,20,23,34,23,Middlesex County, NJ,Jun,438149,372705,65444,14.9
183,Middlesex County_Jul,7/31/2020,17673,2020,7,Jul,20,23,34,23,Middlesex County, NJ,Jul,450234,391004,59230,13.2
184,Middlesex County_Aug,8/31/2020,18456,2020,8,Aug,20,23,34,23,Middlesex County, NJ,Aug,445786,400485,45301,10.2
185,Monmouth County_Feb,2/29/2020,0,2020,2,Feb,20,25,34,25,Monmouth County, NJ,Feb,335263,322679,12584,3.8
186,Monmouth County_Mar,3/31/2020,1140,2020,3,Mar,20,25,34,25,Monmouth County, NJ,Mar,330098,319208,10890,3.3
187,Monmouth County_Apr,4/30/2020,6033,2020,4,Apr,20,25,34,25,Monmouth County, NJ,Apr,321846,271602,50244,15.6
188,Monmouth County_May,5/31/2020,8219,2020,5,May,20,25,34,25,Monmouth County, NJ,May,326077,279749,46328,14.2
189,Monmouth County_Jun,6/30/2020,9140,2020,6,Jun,20,25,34,25,Monmouth County, NJ,Jun,330084,279131,50953,15.4
190,Monmouth County_Jul,7/31/2020,10057,2020,7,Jul,20,25,34,25,Monmouth County, NJ,Jul,336278,292742,43536,12.9
191,Monmouth County_Aug,8/31/2020,10734,2020,8,Aug,20,25,34,25,Monmouth County, NJ,Aug,333523,300466,33057,9.9
192,Morris County_Feb,2/29/2020,0,2020,2,Feb,20,27,34,27,Morris County, NJ,Feb,261338,252699,8639,3.3
193,Morris County_Mar,3/31/2020,841,2020,3,Mar,20,27,34,27,Morris County, NJ,Mar,259899,252406,7493,2.9
194,Morris County_Apr,4/30/2020,5287,2020,4,Apr,20,27,34,27,Morris County, NJ,Apr,247877,215594,32283,13
195,Morris County_May,5/31/2020,6463,2020,5,May,20,27,34,27,Morris County, NJ,May,251580,220910,30670,12.2
196,Morris County_Jun,6/30/2020,6738,2020,6,Jun,20,27,34,27,Morris County, NJ,Jun,254772,220436,34336,13.5
197,Morris County_Jul,7/31/2020,7136,2020,7,Jul,20,27,34,27,Morris County, NJ,Jul,259714,229729,29985,11.5
198,Morris County_Aug,8/31/2020,7491,2020,8,Aug,20,27,34,27,Morris County, NJ,Aug,256962,234050,22912,8.9
199,Ocean County_Feb,2/29/2020,0,2020,2,Feb,20,29,34,29,Ocean County, NJ,Feb,281663,268725,12938,4.6
200,Ocean County_Mar,3/31/2020,1022,2020,3,Mar,20,29,34,29,Ocean County, NJ,Mar,276776,265826,10950,4
201,Ocean County_Apr,4/30/2020,6375,2020,4,Apr,20,29,34,29,Ocean County, NJ,Apr,273188,225983,47205,17.3
202,Ocean County_May,5/31/2020,8748,2020,5,May,20,29,34,29,Ocean County, NJ,May,275790,232692,43098,15.6
203,Ocean County_Jun,6/30/2020,9614,2020,6,Jun,20,29,34,29,Ocean County, NJ,Jun,278682,232361,46321,16.6
204,Ocean County_Jul,7/31/2020,10414,2020,7,Jul,20,29,34,29,Ocean County, NJ,Jul,281878,243810,38068,13.5
205,Ocean County_Aug,8/31/2020,11181,2020,8,Aug,20,29,34,29,Ocean County, NJ,Aug,278844,250059,28785,10.3
206,Passaic County_Feb,2/29/2020,0,2020,2,Feb,20,31,34,31,Passaic County, NJ,Feb,248840,236273,12567,5.1
207,Passaic County_Mar,3/31/2020,1294,2020,3,Mar,20,31,34,31,Passaic County, NJ,Mar,249188,237780,11408,4.6
208,Passaic County_Apr,4/30/2020,12449,2020,4,Apr,20,31,34,31,Passaic County, NJ,Apr,249112,199887,49225,19.8
209,Passaic County_May,5/31/2020,16170,2020,5,May,20,31,34,31,Passaic County, NJ,May,251967,204562,47405,18.8
210,Passaic County_Jun,6/30/2020,16879,2020,6,Jun,20,31,34,31,Passaic County, NJ,Jun,256795,203941,52854,20.6
211,Passaic County_Jul,7/31/2020,17429,2020,7,Jul,20,31,34,31,Passaic County, NJ,Jul,257660,210665,46995,18.2
212,Passaic County_Aug,8/31/2020,18351,2020,8,Aug,20,31,34,31,Passaic County, NJ,Aug,253055,216539,36516,14.4
213,Salem County_Feb,2/29/2020,0,2020,2,Feb,20,33,34,33,Salem County, NJ,Feb,29831,28107,1724,5.8
214,Salem County_Mar,3/31/2020,12,2020,3,Mar,20,33,34,33,Salem County, NJ,Mar,29909,28389,1520,5.1
215,Salem County_Apr,4/30/2020,231,2020,4,Apr,20,33,34,33,Salem County, NJ,Apr,29409,25170,4239,14.4
216,Salem County_May,5/31/2020,634,2020,5,May,20,33,34,33,Salem County, NJ,May,29772,25811,3961,13.3
217,Salem County_Jun,6/30/2020,768,2020,6,Jun,20,33,34,33,Salem County, NJ,Jun,29649,25229,4420,14.9
218,Salem County_Jul,7/31/2020,865,2020,7,Jul,20,33,34,33,Salem County, NJ,Jul,30020,25910,4110,13.7
219,Salem County_Aug,8/31/2020,980,2020,8,Aug,20,33,34,33,Salem County, NJ,Aug,29866,26682,3184,10.7
220,Somerset County_Feb,2/29/2020,0,2020,2,Feb,20,35,34,35,Somerset County, NJ,Feb,174401,168315,6086,3.5
221,Somerset County_Mar,3/31/2020,413,2020,3,Mar,20,35,34,35,Somerset County, NJ,Mar,173473,168167,5306,3.1
222,Somerset County_Apr,4/30/2020,3464,2020,4,Apr,20,35,34,35,Somerset County, NJ,Apr,164019,143699,20320,12.4
223,Somerset County_May,5/31/2020,4583,2020,5,May,20,35,34,35,Somerset County, NJ,May,166895,147232,19663,11.8
224,Somerset County_Jun,6/30/2020,4869,2020,6,Jun,20,35,34,35,Somerset County, NJ,Jun,169215,146841,22374,13.2
225,Somerset County_Jul,7/31/2020,5177,2020,7,Jul,20,35,34,35,Somerset County, NJ,Jul,173137,152982,20155,11.6
226,Somerset County_Aug,8/31/2020,5420,2020,8,Aug,20,35,34,35,Somerset County, NJ,Aug,171123,155869,15254,8.9
227,Sussex County_Feb,2/29/2020,0,2020,2,Feb,20,37,34,37,Sussex County, NJ,Feb,75572,72232,3340,4.4
228,Sussex County_Mar,3/31/2020,132,2020,3,Mar,20,37,34,37,Sussex County, NJ,Mar,75027,72114,2913,3.9
229,Sussex County_Apr,4/30/2020,921,2020,4,Apr,20,37,34,37,Sussex County, NJ,Apr,74516,61790,12726,17.1
230,Sussex County_May,5/31/2020,1110,2020,5,May,20,37,34,37,Sussex County, NJ,May,74645,63421,11224,15
231,Sussex County_Jun,6/30/2020,1192,2020,6,Jun,20,37,34,37,Sussex County, NJ,Jun,74999,63129,11870,15.8
232,Sussex County_Jul,7/31/2020,1295,2020,7,Jul,20,37,34,37,Sussex County, NJ,Jul,75855,65687,10168,13.4
233,Sussex County_Aug,8/31/2020,1399,2020,8,Aug,20,37,34,37,Sussex County, NJ,Aug,74848,67150,7698,10.3
234,Union County_Feb,2/29/2020,0,2020,2,Feb,20,39,34,39,Union County, NJ,Feb,281827,269659,12168,4.3
235,Union County_Mar,3/31/2020,1418,2020,3,Mar,20,39,34,39,Union County, NJ,Mar,280328,269468,10860,3.9
236,Union County_Apr,4/30/2020,12578,2020,4,Apr,20,39,34,39,Union County, NJ,Apr,271937,230044,41893,15.4
237,Union County_May,5/31/2020,15821,2020,5,May,20,39,34,39,Union County, NJ,May,276606,235570,41036,14.8
238,Union County_Jun,6/30/2020,16297,2020,6,Jun,20,39,34,39,Union County, NJ,Jun,281299,235116,46183,16.4
239,Union County_Jul,7/31/2020,16523,2020,7,Jul,20,39,34,39,Union County, NJ,Jul,286811,245064,41747,14.6
240,Union County_Aug,8/31/2020,17103,2020,8,Aug,20,39,34,39,Union County, NJ,Aug,281642,249419,32223,11.4
241,Warren County_Feb,2/29/2020,0,2020,2,Feb,20,41,34,41,Warren County, NJ,Feb,57182,54793,2389,4.2
242,Warren County_Mar,3/31/2020,76,2020,3,Mar,20,41,34,41,Warren County, NJ,Mar,57388,55337,2051,3.6
243,Warren County_Apr,4/30/2020,903,2020,4,Apr,20,41,34,41,Warren County, NJ,Apr,56731,48557,8174,14.4
244,Warren County_May,5/31/2020,1160,2020,5,May,20,41,34,41,Warren County, NJ,May,57348,50091,7257,12.7
245,Warren County_Jun,6/30/2020,1233,2020,6,Jun,20,41,34,41,Warren County, NJ,Jun,57987,49969,8018,13.8
246,Warren County_Jul,7/31/2020,1329,2020,7,Jul,20,41,34,41,Warren County, NJ,Jul,58038,51043,6995,12.1
247,Warren County_Aug,8/31/2020,1395,2020,8,Aug,20,41,34,41,Warren County, NJ,Aug,57772,52457,5315,9.2